1,Lettuce,Full Sun/Partial Shade,Moderate,"Well-drained, Loamy",Lactuca sativa,"Carrots, Radishes, Onions","Butterhead, Romaine, Leaf","Harvest outer leaves first for continuous growth."
2,Spinach,Partial Shade,Frequent,"Well-drained, Rich",Spinacia oleracea,"Strawberries, Peas, Radishes","Savoy, Flat-leaf","Plant in cool weather for best yield."
3,Kale,Full Sun/Partial Shade,Moderate,"Well-drained, Fertile",Brassica oleracea,"Onions, Beets, Celery","Curly, Lacinato, Red Russian","Rich in nutrients; frost-tolerant."
4,Swiss Chard,Full Sun/Partial Shade,Moderate,"Rich, Well-drained",Beta vulgaris,"Onions, Beans, Cabbage","Rainbow, Fordhook","Edible stems and leaves."
5,Collard Greens,Full Sun,Moderate,"Loamy, Well-drained",Brassica oleracea,"Tomatoes, Onions, Celery","Georgia Southern, Vates","Staple in Southern cooking."
6,Mustard Greens,Full Sun/Partial Shade,Frequent,"Fertile, Well-drained",Brassica juncea,"Carrots, Lettuce, Beans","Southern Giant, Red Giant","Spicy flavor; grows quickly."
7,Arugula,Partial Shade,Frequent,"Moist, Well-drained",Eruca sativa,"Radishes, Carrots, Dill","Wild, Cultivated","Peppery taste; great in salads."
8,Endive,Full Sun/Partial Shade,Moderate,"Well-drained, Fertile",Cichorium endivia,"Radishes, Turnips","Curly, Broad-leaf","Slightly bitter; blanch to reduce bitterness."
9,Bok Choy,Partial Shade,Frequent,"Rich, Well-drained",Brassica rapa,"Carrots, Beans","Baby, Standard","Common in Asian cuisine."
10,Tatsoi,Partial Shade,Frequent,"Moist, Well-drained",Brassica rapa,"Spinach, Lettuce","Rosette-forming","Cold-tolerant; mild flavor."
11,Carrots,Full Sun,Moderate,"Loose, Sandy",Daucus carota,"Onions, Leeks, Lettuce","Nantes, Danvers","Loosen soil for straight roots."
12,Beets,Full Sun,Moderate,"Loamy, Well-drained",Beta vulgaris,"Lettuce, Cabbage, Onions","Detroit, Golden","Edible greens and roots."
13,Radishes,Full Sun/Partial Shade,Frequent,"Moist, Well-drained",Raphanus sativus,"Carrots, Peas, Lettuce","Cherry Belle, Daikon","Fast-growing; good for intercropping."
