,plant_name,sunlight,water,soil,plant_name_scientific,companions,varieties,notes,spacing
0,Lettuce,Full Sun/Partial Shade,Moderate,"Loamy, Well-drained",Lactuca sativa,"Carrots, Radishes, Onions","Butterhead, Romaine, Leaf, Iceberg","Harvest outer leaves first for continuous growth.",6-12 inches
1,Spinach,Partial Shade,Frequent,"Rich, Well-drained",Spinacia oleracea,"Strawberries, Peas, Radishes","Savoy, Flat-leaf","Plant in cool weather for best yield.",6-12 inches
2,Kale,Full Sun/Partial Shade,Moderate,"Fertile, Well-drained",Brassica oleracea,"Onions, Beets, Celery","Curly, Lacinato, Red Russian","Rich in nutrients; frost-tolerant.",18-24 inches
3,Swiss Chard,Full Sun/Partial Shade,Moderate,"Rich, Well-drained",Beta vulgaris,"Onions, Beans, Cabbage","Rainbow, Fordhook","Edible stems and leaves.",12-18 inches
4,Collard Greens,Full Sun,Moderate,"Loamy, Well-drained",Brassica oleracea,"Tomatoes, Onions, Celery","Georgia Southern, Vates","Staple in Southern cooking.",18-24 inches
5,Mustard Greens,Full Sun/Partial Shade,Frequent,"Fertile, Well-drained",Brassica juncea,"Carrots, Lettuce, Beans","Southern Giant, Red Giant","Spicy flavor; grows quickly.",12-18 inches
6,Arugula,Partial Shade,Frequent,"Moist, Well-drained",Eruca sativa,"Radishes, Carrots, Dill","Wild, Cultivated","Peppery taste; great in salads.",6-12 inches
7,Endive,Full Sun/Partial Shade,Moderate,"Fertile, Well-drained",Cichorium endivia,"Radishes, Turnips","Curly, Broad-leaf","Slightly bitter; blanch to reduce bitterness.",12-18 inches
8,Bok Choy,Partial Shade,Frequent,"Rich, Well-drained",Brassica rapa,"Carrots, Beans","Baby, Standard","Common in Asian cuisine.",6-12 inches
9,Tatsoi,Partial Shade,Frequent,"Moist, Well-drained",Brassica rapa,"Spinach, Lettuce",Rosette-forming,"Cold-tolerant; mild flavor.",6-12 inches
10,Carrots,Full Sun,Moderate,"Loose, Sandy",Daucus carota,"Onions, Leeks, Lettuce","Nantes, Danvers","Loosen soil for straight roots.",2-4 inches
11,Beets,Full Sun,Moderate,"Loamy, Well-drained",Beta vulgaris,"Lettuce, Cabbage, Onions","Detroit, Golden","Edible greens and roots.",3-6 inches
12,Radishes,Full Sun/Partial Shade,Frequent,"Moist, Well-drained",Raphanus sativus,"Carrots, Peas, Lettuce","Cherry Belle, Daikon","Fast-growing; good for intercropping.",1-2 inches
13,Turnips,Full Sun/Partial Shade,Moderate,"Loamy, Well-drained",Brassica rapa,"Peas, Beans","Purple Top, Hakurei","Both roots and greens are edible.",4-6 inches
14,Rutabaga,Full Sun,Moderate,"Fertile, Well-drained",Brassica napus,"Peas, Nasturtiums",American Purple Top,"Sweet flavor after frost.",6-8 inches
15,Parsnips,Full Sun,Moderate,"Deep, Sandy",Pastinaca sativa,"Peas, Radishes",Hollow Crown,"Harvest after frost for sweetness.",3-6 inches
16,Sweet Potatoes,Full Sun,Moderate,"Loamy, Well-drained",Ipomoea batatas,"Beans, Corn","Beauregard, Jewel","Vining plant; needs space.",12-18 inches
17,Potatoes,Full Sun,Moderate,"Loamy, Well-drained",Solanum tuberosum,"Beans, Cabbage, Corn","Russet, Yukon Gold","Hill soil around stems for more tubers.",12-15 inches
18,Onions,Full Sun,Moderate,"Loamy, Well-drained",Allium cepa,"Carrots, Lettuce, Strawberries","Yellow, Red, White","Plant sets or seeds.",4-6 inches
19,Shallots,Full Sun,Moderate,"Fertile, Well-drained",Allium cepa,"Beets, Lettuce","French, Dutch","Mild onion flavor.",6-8 inches
20,Garlic,Full Sun,Moderate,"Loamy, Well-drained",Allium sativum,"Carrots, Beets, Tomatoes","Hardneck, Softneck","Plant cloves in fall for summer harvest.",4-6 inches
21,Broccoli,Full Sun,Moderate,"Rich, Well-drained",Brassica oleracea,"Beans, Celery, Onions","Calabrese, Purple Sprouting","Harvest before flowers open.",18-24 inches
22,Cauliflower,Full Sun,Moderate,"Rich, Well-drained",Brassica oleracea,"Beans, Celery, Spinach","Snowball, Purple","Blanch heads by tying leaves.",18-24 inches
